x,y,RoadType,lon,lat
2679495,1249286,rt433,8.491512118122209,47.38960494502631
2683075,1247963,rt433,8.538676428954668,47.37726500988156
2681289,1247650,rt433,8.51497297016054,47.37467283275641
2680340,1252709,rt432,8.503317588926784,47.420286651846695
2681965,1247662,rt433,8.523924948010498,47.374697013574085
2681802,1249466,rt433,8.522096720622724,47.39094131871807
2683857,1252855,rt432,8.549947375218427,47.42116110306078
2682032,1249842,rt432,8.525211648171709,47.39429421449196
2680592,1250520,rt433,8.506262117325555,47.40056946960207
2682876,1247474,rt433,8.535951140919012,47.372892309787055
2684345,1247329,rt433,8.555371621626538,47.3714018813255
2683080,1250342,rt432,8.53918441169288,47.39865952142371
2680190,1248303,rt433,8.500539893464435,47.3806801965613
2685084,1244556,rt432,8.564628002900374,47.34636825828087
